gemeratopm, max, min, mean, standev
0, 0.000000, 0.000000, 0.000000, 0.000000
1, 1.000000, 1.000000, 1.000000, 0.000000
2, 1.000000, 1.000000, 1.000000, 0.000000
3, 0.000000, 0.000000, 0.000000, 0.000000
4, 1.000000, 1.000000, 1.000000, 0.000000
5, 1.000000, 1.000000, 1.000000, 0.000000
6, 1.000000, 1.000000, 1.000000, 0.000000
7, 0.000000, 0.000000, 0.000000, 0.000000
8, 0.000000, 0.000000, 0.000000, 0.000000
9, 0.000000, 0.000000, 0.000000, 0.000000
10, 1.000000, 1.000000, 1.000000, 0.000000
11, 1.000000, 1.000000, 1.000000, 0.000000
12, 0.000000, 0.000000, 0.000000, 0.000000
13, 0.000000, 0.000000, 0.000000, 0.000000
14, 1.000000, 1.000000, 1.000000, 0.000000
15, 0.000000, 0.000000, 0.000000, 0.000000
16, 1.000000, 1.000000, 1.000000, 0.000000
17, 0.000000, 0.000000, 0.000000, 0.000000
18, 0.000000, 0.000000, 0.000000, 0.000000
19, 1.000000, 1.000000, 1.000000, 0.000000
